,mean,std,min,25%,50%,75%,max,zero fraction,median
regulations_NO1,-5.03,35.18,-334.0,0.0,0.0,0.0,424.0,0.69,0.0
regulations_NO2,-16.09,140.61,-1447.2,-27.6,0.0,0.0,1400.0,0.47,0.0
regulations_NO3,-34.85,112.88,-1335.0,-59.0,0.0,0.0,680.7,0.44,0.0
regulations_NO4,-21.48,112.66,-1466.8,-10.0,0.0,0.0,789.0,0.59,0.0
regulations_NO5,-19.54,175.68,-1472.3,-54.0,0.0,6.22,1205.2,0.41,0.0
