,mean,std,min,25%,50%,75%,max,zero fraction,median
delta_prices_up_NO1,2.62,12.7,-29.42,0.0,0.0,1.55,589.79,0.68,0.0
delta_prices_up_NO2,2.31,10.63,-29.42,0.0,0.0,1.48,351.93,0.68,0.0
delta_prices_up_NO3,2.81,42.25,-21.14,0.0,0.0,0.76,4875.19,0.71,0.0
delta_prices_up_NO4,2.29,41.18,-21.14,0.0,0.0,0.0,4875.19,0.74,0.0
delta_prices_up_NO5,2.55,11.73,-29.42,0.0,0.0,1.62,351.93,0.68,0.0
